[김해시청] 7/9(금) 13:00~13:30 아지매가마솥국밥 율하숲길 16 을 이용하신 분은 인근 보건소에서 검사받으시기 바랍니다.	ORG-B DAT-B NUM-B LOC-B LOC-B LOC-B NUM-B O O O O O O
[나주시청] ▲7.10(토)~7.13(화)그린찌개밥상(송월동) 방문하신 분은 거주지보건소에서 코로나19검사 받으시기 바랍니다.	ORG-B LOC-B O O ORG-B TRM-B O O
[나주시청] ▲7.9(금)18:00~22:00 품장 노안면 방문하신 분은 거주지보건소에서 코로나19검사 받으시기 바랍니다.	ORG-B DAT-B LOC-B LOC-B O O ORG-B NUM-B O O
[나주시청] ▲7.13(화)12:00~15:00 나주곰탕노안집 금계동 방문하신 분은 거주지보건소에서 코로나19검사 받으시기 바랍니다.	ORG-B DAT-B LOC-B LOC-B O O ORG-B TRM-B O O
[단양군청]7.8.(목) 16:27~16:34 죽령→ 다리안행 단양버스 상진초~스마일마트 정류장 앞까지 이용하신 분은 가까운 선별진료소에서 검사받으시기 바랍니다.	ORG-B TIM-B LOC-B LOC-I LOC-I LOC-B LOC-I LOC-I O O O O O O
[당진시청] 7/11(일)~7/13(화) 홍성한우마을 합덕읍 버그내2길 128-25 방문자는 보건소 선별진료소 방문 후 코로나19검사 바랍니다.	ORG-B DAT-B LOC-B LOC-B LOC-I LOC-I CVL-B ORG-B O O O TRM-B O
[단양군청] 7.8.(목) 16:27 ~ 16:34 죽령 → 다리안행 단양버스 상진초~스마일마트까지 이용하신 분은 가까운 선별진료소에서 검사받으시기 바랍니다.	ORG-B DAT-B TIM-B O TIM-B LOC-B O LOC-B LOC-I LOC-B O O O O O O
[거제시청]6/30(수)~7/9(금) 상문동주민센터 방문자는 오늘 17시~20시까지 상문동행복누림문화센터 거제중앙로1641 에서 코로나검사바랍니다. 신분증 지참	ORG-B ORG-B CVL-B DAT-B TIM-B LOC-B LOC-B LOC-B O LOC-B O
[포항시청]2 7.11 131번버스 필로스호텔정류장22:42→오천농협원동지점정류장23:24 해당시간 탑승객은 보건소에서 코로나19 검사바랍니다.	LOC-B ORG-B NUM-B LOC-B TIM-B CVL-B O O O
"[사상구청] 55~59세 예방접종 사전예약 7.14 20시~7.24. 18시 ""구청콜센터 310-7940 ,"" 동행정복지센터 방문 및 인터넷 접수 가능합니다."	ORG-B NUM-B O DAT-B LOC-B TIM-B TIM-I ORG-B LOC-B LOC-B ORG-B O O O O O
"[여수시청] 7.11.(일) ③14:48~18:40 소울보이스 동전노래연습장 학동 / 7.9.(금)~7.13(화) 예스마트 선원동 ""방문자,"" 금일 중 검사요망"	ORG-B DAT-B TIM-B LOC-B LOC-I LOC-B LOC-B DAT-B LOC-B LOC-B CVL-B DAT-B O O
